分类: 📺央视1-3, 名称: CCTV-1, 有效: 1, IPv4: 15, IPv6: 0, 最小延迟: 3460 ms, 最高速率: 2.05 M/s, 平均速率: 2.05 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📺央视1-3, 名称: CCTV-2, 有效: 1, IPv4: 13, IPv6: 0, 最小延迟: 848 ms, 最高速率: 4.06 M/s, 平均速率: 4.06 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📺央视1-3, 名称: CCTV-3, 有效: 0, IPv4: 11, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视, 名称: 广西卫视, 有效: 3, IPv4: 10, IPv6: 0, 最小延迟: 260 ms, 最高速率: 12.69 M/s, 平均速率: 8.69 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视, 名称: 湖南卫视, 有效: 3, IPv4: 14, IPv6: 0, 最小延迟: 131 ms, 最高速率: 7.51 M/s, 平均速率: 5.84 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视, 名称: 浙江卫视, 有效: 1, IPv4: 18, IPv6: 0, 最小延迟: 1030 ms, 最高速率: 3.45 M/s, 平均速率: 3.45 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视, 名称: 东方卫视, 有效: 3, IPv4: 13, IPv6: 0, 最小延迟: 209 ms, 最高速率: 16.07 M/s, 平均速率: 7.83 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视, 名称: 江苏卫视, 有效: 0, IPv4: 9, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视, 名称: 北京卫视, 有效: 4, IPv4: 14, IPv6: 0, 最小延迟: 9 ms, 最高速率: 18.90 M/s, 平均速率: 6.55 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: aac
分类: 📡卫视, 名称: 广东卫视, 有效: 2, IPv4: 15, IPv6: 0, 最小延迟: 11 ms, 最高速率: 25.25 M/s, 平均速率: 20.57 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: aac
分类: 📡卫视, 名称: 重庆卫视, 有效: 3, IPv4: 13, IPv6: 0, 最小延迟: 9 ms, 最高速率: 15.39 M/s, 平均速率: 10.62 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: aac
分类: 🌊本地, 名称: 翡翠台, 有效: 0, IPv4: 5, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🌊本地, 名称: 凤凰资讯, 有效: 1, IPv4: 11, IPv6: 0, 最小延迟: 318 ms, 最高速率: 0.30 M/s, 平均速率: 0.30 M/s, 最高分辨率: 1280x720, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: aac
分类: 📺央视其他, 名称: CCTV-5, 有效: 1, IPv4: 13, IPv6: 0, 最小延迟: 210 ms, 最高速率: 14.64 M/s, 平均速率: 14.64 M/s, 最高分辨率: 1280x720, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📺央视其他, 名称: CCTV-6, 有效: 0, IPv4: 11, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📺央视其他, 名称: CCTV-8, 有效: 0, IPv4: 11, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📺央视其他, 名称: CCTV-9, 有效: 2, IPv4: 13, IPv6: 0, 最小延迟: 132 ms, 最高速率: 5.66 M/s, 平均速率: 5.64 M/s, 最高分辨率: 1280x720, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📺央视其他, 名称: CCTV-13, 有效: 0, IPv4: 11, IPv6: 0, 最小延迟: 1074 ms, 最高速率: 0.27 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视其他, 名称: CCTV-14, 有效: 2, IPv4: 12, IPv6: 0, 最小延迟: 222 ms, 最高速率: 11.47 M/s, 平均速率: 8.42 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
